admin2,fatalities,event_id_cnty,Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Abassiya,115,17,Apr 2024,SDN,47208125,South Kordofan,Abassiya,current,2024-04-01,2024-05-31,3+,54287,0.4
Adila,5,13,Apr 2024,SDN,47208125,East Darfur,Adila,current,2024-04-01,2024-05-31,3+,85845,0.45
An Nuhud,21,39,Apr 2024,SDN,47208125,West Kordofan,An Nuhud,current,2024-04-01,2024-05-31,3+,134355,0.45
Assalaya,0,3,Apr 2024,SDN,47208125,East Darfur,Assalaya,current,2024-04-01,2024-05-31,3+,62521,0.4
Atbara,5,35,Apr 2024,SDN,47208125,River Nile,Atbara,current,2024-04-01,2024-05-31,3+,108542,0.3
Babanusa,333,89,Apr 2024,SDN,47208125,West Kordofan,Babanusa,current,2024-04-01,2024-05-31,3+,10020,0.6
Barbar,8,10,Apr 2024,SDN,47208125,River Nile,Barbar,current,2024-04-01,2024-05-31,3+,37186,0.15
Basundah,2,16,Apr 2024,SDN,47208125,Gedaref,Basundah,current,2024-04-01,2024-05-31,3+,42800,0.35
Beida,51,11,Apr 2024,SDN,47208125,West Darfur,Beida,current,2024-04-01,2024-05-31,3+,16885,0.5
Delami,72,22,Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,3+,22663,0.5
Delgo,0,3,Apr 2024,SDN,47208125,Northern,Delgo,current,2024-04-01,2024-05-31,3+,25786,0.25
Dilling,148,64,Apr 2024,SDN,47208125,South Kordofan,Dilling,current,2024-04-01,2024-05-31,3+,108770,0.5
Dongola,2,37,Apr 2024,SDN,47208125,Northern,Dongola,current,2024-04-01,2024-05-31,3+,70031,0.25
Dordieb,0,1,Apr 2024,SDN,47208125,Red Sea,Dordieb,current,2024-04-01,2024-05-31,3+,27361,0.4
Geisan,16,3,Apr 2024,SDN,47208125,Blue Nile,Geisan,current,2024-04-01,2024-05-31,3+,58455,0.4
Halfa,0,14,Apr 2024,SDN,47208125,Northern,Halfa,current,2024-04-01,2024-05-31,3+,28620,0.3
Haya,0,3,Apr 2024,SDN,47208125,Red Sea,Haya,current,2024-04-01,2024-05-31,3+,99110,0.3
Heiban,3,7,Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,3+,124651,0.5
Kadugli,139,71,Apr 2024,SDN,47208125,South Kordofan,Kadugli,current,2024-04-01,2024-05-31,3+,47301,0.6
Keilak,10,8,Apr 2024,SDN,47208125,West Kordofan,Keilak,current,2024-04-01,2024-05-31,3+,36365,0.45
Kereneik,95,30,Apr 2024,SDN,47208125,West Darfur,Kereneik,current,2024-04-01,2024-05-31,3+,203436,0.6
Kosti,30,43,Apr 2024,SDN,47208125,White Nile,Kosti,current,2024-04-01,2024-05-31,3+,68633,0.35
Kulbus,104,12,Apr 2024,SDN,47208125,West Darfur,Kulbus,current,2024-04-01,2024-05-31,3+,37011,0.45
Rabak,6,20,Apr 2024,SDN,47208125,White Nile,Rabak,current,2024-04-01,2024-05-31,3+,188600,0.4
Sawakin,0,8,Apr 2024,SDN,47208125,Red Sea,Sawakin,current,2024-04-01,2024-05-31,3+,15004,0.15
Sennar,406,152,Apr 2024,SDN,47208125,Sennar,Sennar,current,2024-04-01,2024-05-31,3+,367729,0.6
Sheikan,822,219,Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,3+,282220,0.5
Shendi,70,64,Apr 2024,SDN,47208125,River Nile,Shendi,current,2024-04-01,2024-05-31,3+,175313,0.3
Shiaria,17,8,Apr 2024,SDN,47208125,East Darfur,Shiaria,current,2024-04-01,2024-05-31,3+,78097,0.3
Sinja,184,60,Apr 2024,SDN,47208125,Sennar,Sinja,current,2024-04-01,2024-05-31,3+,147167,0.45
Sirba,281,47,Apr 2024,SDN,47208125,West Darfur,Sirba,current,2024-04-01,2024-05-31,3+,91961,0.65
Tawkar,0,2,Apr 2024,SDN,47208125,Red Sea,Tawkar,current,2024-04-01,2024-05-31,3+,75480,0.4
Tendalti,18,9,Apr 2024,SDN,47208125,White Nile,Tendalti,current,2024-04-01,2024-05-31,3+,87112,0.35
Yassin,22,6,Apr 2024,SDN,47208125,East Darfur,Yassin,current,2024-04-01,2024-05-31,3+,53018,0.35
