Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,all,2140618,1.0
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,3+,1841061,0.86
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,1,0,0
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,2,299557,0.14
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,3,1044353,0.49
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,4,663721,0.31
Sep 2024,PSE,2251457,current,2024-09-01,2024-10-31,5,132987,0.06
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,all,2140618,1.0
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,3+,1948092,0.91
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,1,0,0
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,2,192526,0.09
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,3,727681,0.34
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,4,875573,0.41
Sep 2024,PSE,2251457,first projection,2024-11-01,2025-04-30,5,344839,0.16
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,all,2251457,1.0
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,3+,2133884,0.95
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,1,10000,0
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,2,107573,0.05
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,3,1148301,0.51
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,4,642864,0.29
May 2024,PSE,2251457,current,2024-05-01,2024-06-30,5,342719,0.15
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,all,2251457,1.0
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,3+,2153884,0.96
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,1,0,0
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,2,97573,0.04
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,3,913156,0.41
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,4,745437,0.33
May 2024,PSE,2251457,first projection,2024-06-01,2024-09-30,5,495291,0.22
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,all,2226544,1.0
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,3+,2130217,0.95
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,1,0,0
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,2,96327,0.05
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,3,577963,0.26
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,4,875618,0.39
Feb 2024,PSE,2230000,current,2024-02-01,2024-03-31,5,676636,0.3
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,all,2226544,1.0
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,3+,2226544,1
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,1,0,0
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,2,0,0
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,3,265309,0.12
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,4,854290,0.38
Feb 2024,PSE,2230000,first projection,2024-03-01,2024-07-31,5,1106945,0.5
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,all,2226544,1.0
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,3+,2082400,0.93
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,1,0,0
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,2,144700,0.07
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,3,766000,0.34
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,4,938600,0.42
Dec 2023,PSE,2226544,current,2023-11-01,2023-12-31,5,377800,0.17
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,all,2226544,1.0
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,3+,2224000,1
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,1,0,0
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,2,2500,0
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,3,477800,0.21
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,4,1169600,0.53
Dec 2023,PSE,2226544,first projection,2023-12-01,2024-02-29,5,576600,0.26
